Frame,Queue Density,Moving Static
0,0,0.028751
1,0.133139,0.0574252
2,0.146949,0.0877234
3,0.168177,0.107565
4,0.174987,0.126818
5,0.187551,0.121682
6,0.190968,0.113205
7,0.19018,0.114535
8,0.183875,0.122398
9,0.180928,0.122207
10,0.183969,0.120151
11,0.187653,0.118487
12,0.188131,0.11595
13,0.193425,0.0997516
14,0.201894,0.0938601
15,0.229971,0.0904461
16,0.261027,0.0896326
17,0.281648,0.106219
18,0.270726,0.117125
19,0.267932,0.127292
20,0.2724,0.132979
21,0.30101,0.139529
22,0.312551,0.148784
23,0.310705,0.158221
24,0.315792,0.164538
25,0.325381,0.17228
26,0.322669,0.173585
27,0.317622,0.17084
28,0.311724,0.167531
29,0.30219,0.158619
30,0.296825,0.152064
31,0.296233,0.148664
32,0.286574,0.142306
33,0.283427,0.137444
34,0.281961,0.129385
35,0.277647,0.119187
36,0.27952,0.1001
37,0.276158,0.0816329
38,0.278078,0.0672903
39,0.27653,0.0571689
40,0.272313,0.0641592
41,0.270664,0.0662103
42,0.274241,0.0670026
43,0.274872,0.0672252
44,0.281072,0.0598627
45,0.280903,0.0565898
46,0.281902,0.0589849
47,0.282012,0.0538991
48,0.279422,0.0533121
49,0.283274,0.0615336
50,0.277082,0.0567371
51,0.27961,0.0579276
52,0.285962,0.0601315
53,0.277404,0.0527141
54,0.271608,0.0621395
55,0.274085,0.0711087
56,0.275217,0.0735846
57,0.27903,0.0801061
58,0.283203,0.0890456
59,0.281111,0.0927104
60,0.281444,0.0962098
61,0.280339,0.0928812
62,0.281201,0.074739
63,0.296641,0.0653043
64,0.294074,0.059086
65,0.295367,0.0569769
66,0.293913,0.058952
67,0.291848,0.0559549
68,0.289536,0.0554956
69,0.286711,0.0544391
70,0.288937,0.0528544
71,0.301966,0.0556594
72,0.304,0.0603259
73,0.310756,0.069886
74,0.316258,0.0786499
75,0.333132,0.087616
76,0.355148,0.100067
77,0.382363,0.117083
78,0.405997,0.136754
79,0.427013,0.156102
80,0.440588,0.177369
81,0.439957,0.191726
